Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency,D3D12PsoCompileCount,MsD3D12PsoCompileTime,D3D12PsoCompileBusyPercent
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,388.19550000000004,NA,5.99580000000000,6.93960000000000,5.03310000000000,6.55840000000000,24.82070000000000,NA,7.44070000000000,2.40760000000000,5.03310000000000,1.54030000000000,7.42570000000000,2.88080000000000,4.54490000000000,0.00000000000000,NA,388.19550000000004,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,395.63620000000003,NA,8.02110000000000,6.93430000000000,3.75260000000000,5.33320000000000,23.73390000000000,NA,6.74060000000000,2.98800000000000,3.75260000000000,1.63300000000000,6.68820000000000,2.92090000000000,3.76730000000000,0.00000000000000,0.50640000000000,395.63620000000003,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,402.37680000000000,NA,6.92830000000000,6.95970000000000,3.46870000000000,4.99770000000000,23.76530000000000,NA,6.64440000000000,3.17570000000000,3.46870000000000,1.84880000000000,6.32460000000000,2.92710000000000,3.39750000000000,0.00000000000000,-0.21910000000000,402.37680000000000,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,409.02120000000002,NA,6.12340000000000,6.94500000000000,4.54000000000000,6.06790000000000,24.58690000000000,NA,7.19470000000000,2.65470000000000,4.54000000000000,1.52900000000000,7.19360000000000,2.88720000000000,4.30640000000000,0.00000000000000,-0.30060000000000,409.02120000000002,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,416.21590000000003,NA,6.79680000000000,6.94750000000000,4.42210000000000,5.95500000000000,24.73760000000000,NA,6.67890000000000,2.25680000000000,4.42210000000000,1.52790000000000,6.68390000000000,2.88990000000000,3.79400000000000,0.00000000000000,0.24720000000000,416.21590000000003,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,422.89480000000003,NA,6.96320000000000,6.94350000000000,4.41600000000000,5.91170000000000,24.71790000000000,NA,6.95710000000000,2.54110000000000,4.41600000000000,1.53290000000000,6.91990000000000,2.86240000000000,4.05750000000000,0.00000000000000,-0.26460000000000,422.89480000000003,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,429.85190000000000,NA,7.17190000000000,6.96490000000000,4.17710000000000,5.68510000000000,24.51090000000000,NA,6.93300000000000,2.75590000000000,4.17710000000000,1.63080000000000,6.81020000000000,2.89610000000000,3.91410000000000,0.00000000000000,-0.00780000000000,429.85190000000000,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,436.78489999999999,NA,6.53750000000000,6.92230000000000,4.61270000000000,6.13430000000000,24.89570000000000,NA,6.97310000000000,2.36040000000000,4.61270000000000,1.50800000000000,6.98670000000000,2.81510000000000,4.17160000000000,0.00000000000000,0.01070000000000,436.78489999999999,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,443.75800000000004,NA,7.36810000000000,6.94900000000000,4.35630000000000,5.85870000000000,24.47660000000000,NA,7.11170000000000,2.75540000000000,4.35630000000000,1.52160000000000,7.09250000000000,2.87330000000000,4.21920000000000,0.00000000000000,0.02410000000000,443.75800000000004,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,450.86970000000002,NA,7.44570000000000,6.94250000000000,3.69920000000000,5.20680000000000,23.97340000000000,NA,6.78860000000000,3.08940000000000,3.69920000000000,1.89280000000000,6.40340000000000,2.91520000000000,3.48820000000000,0.00000000000000,0.16920000000000,450.86970000000002,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
