Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,44.59480000000000,NA,12.42730000000000,11.63610000000000,0.29520000000000,6.72480000000000,6.86860000000000,NA,12.44790000000000,12.15270000000000,0.29520000000000,9.78150000000000,9.09600000000000,8.13030000000000,0.96570000000000,0.00000000000000,NA,44.59480000000000,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,57.04270000000000,NA,10.95830000000000,13.48610000000000,0.30410000000000,7.58290000000000,9.39640000000000,NA,10.96720000000000,10.66310000000000,0.30410000000000,8.11350000000000,10.13250000000000,8.08600000000000,2.04650000000000,0.00000000000000,-1.03820000000000,57.04270000000000,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,68.00990000000000,NA,10.54820000000000,8.63380000000000,0.26270000000000,7.34110000000000,7.48200000000000,NA,10.50680000000000,10.24410000000000,0.26270000000000,7.90520000000000,9.68000000000000,8.02290000000000,1.65710000000000,0.00000000000000,2.33340000000000,68.00990000000000,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,78.51670000000000,NA,10.81470000000000,11.45190000000000,0.28340000000000,7.18430000000000,8.11920000000000,NA,10.83540000000000,10.55200000000000,0.28340000000000,8.33720000000000,9.39910000000000,8.18250000000000,1.21660000000000,0.00000000000000,-0.94510000000000,78.51670000000000,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,89.35210000000001,NA,10.59360000000000,10.45380000000000,3.02120000000000,7.24080000000000,7.97940000000000,NA,13.33140000000000,10.31020000000000,3.02120000000000,7.62090000000000,9.93010000000000,8.05660000000000,1.87350000000000,0.00000000000000,0.38160000000000,89.35210000000001,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,102.68350000000001,NA,13.31690000000000,12.95940000000000,1.36270000000000,7.47620000000000,7.62190000000000,NA,11.65840000000000,10.29570000000000,1.36270000000000,7.99510000000000,9.77680000000000,8.15980000000000,1.61700000000000,0.00000000000000,0.37200000000000,102.68350000000001,NA,25.58980000000000,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,114.34190000000001,NA,11.74930000000000,13.57280000000000,0.29360000000000,7.46090000000000,9.44540000000000,NA,10.68020000000000,10.38660000000000,0.29360000000000,7.71560000000000,10.13190000000000,8.14570000000000,1.98620000000000,0.00000000000000,-1.91440000000000,114.34190000000001,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,125.02210000000001,NA,10.18800000000000,8.40860000000000,0.30600000000000,7.52190000000000,7.66600000000000,NA,10.20040000000000,9.89440000000000,0.30600000000000,7.87460000000000,9.54170000000000,8.17530000000000,1.36640000000000,0.00000000000000,2.27160000000000,125.02210000000001,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,135.22250000000000,NA,10.02520000000000,9.93860000000000,1.61420000000000,7.43060000000000,7.57940000000000,NA,11.33340000000000,9.71920000000000,1.61420000000000,7.58770000000000,9.56210000000000,8.10300000000000,1.45910000000000,0.00000000000000,0.26180000000000,135.22250000000000,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,146.55590000000001,NA,11.47630000000000,12.19340000000000,0.30430000000000,7.48720000000000,8.29650000000000,NA,10.16640000000000,9.86210000000000,0.30430000000000,7.68740000000000,9.66190000000000,8.10400000000000,1.55790000000000,0.00000000000000,-0.86000000000000,146.55590000000001,NA,NA,NA,NA
3DMarkTimeSpy.exe,19736,0x36B47B0,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,156.72230000000002,NA,10.17720000000000,9.88350000000000,0.25400000000000,7.58270000000000,8.00280000000000,NA,10.12690000000000,9.87290000000000,0.25400000000000,7.72000000000000,9.73560000000000,8.18810000000000,1.54750000000000,0.00000000000000,0.28290000000000,156.72230000000002,NA,NA,NA,NA
