Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency,PsoCompileCount,MsPsoCompileTime,PsoCompileBusyPercent
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,0,Composed: Flip,Application,4510.73909999999978,NA,15.41560000000000,NA,0.79010000000000,0.31200000000000,NA,NA,15.28050000000000,14.49040000000000,0.79010000000000,14.48430000000000,0.31810000000000,0.31810000000000,0.00000000000000,0.00000000000000,NA,NA,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,0,Composed: Flip,Application,4526.01960000000054,NA,73.73190000000001,NA,0.21990000000000,0.71990000000000,28.47750000000000,NA,73.16170000000000,72.94180000000000,0.21990000000000,73.22870000000000,0.43300000000000,0.43300000000000,0.00000000000000,0.00000000000000,NA,4526.01960000000054,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,0,Composed: Flip,Application,4599.18130000000019,NA,32.47460000000000,33.44400000000000,0.21320000000000,0.49890000000000,29.44690000000000,NA,32.46790000000000,32.25470000000000,0.21320000000000,32.24510000000000,0.50850000000000,0.50850000000000,0.00000000000000,0.00000000000000,39.71770000000001,4599.18130000000019,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4631.64919999999984,NA,92.68830000000000,66.64490000000001,0.21510000000000,0.56870000000000,3.40350000000000,NA,92.69020000000000,92.47510000000000,0.21510000000000,92.52350000000000,0.52030000000000,0.52030000000000,0.00000000000000,0.00000000000000,-34.17700000000001,4631.64919999999984,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4724.33939999999984,NA,33.37210000000000,30.55670000000000,0.21340000000000,0.46020000000000,0.58810000000000,NA,33.37040000000000,33.15700000000000,0.21340000000000,33.17670000000000,0.44050000000000,0.44050000000000,0.00000000000000,0.00000000000000,62.13350000000000,4724.33939999999984,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4757.70980000000054,NA,33.83890000000000,33.91920000000000,0.20120000000000,0.54640000000000,0.66840000000000,NA,33.82670000000000,33.62550000000000,0.20120000000000,33.67210000000000,0.49980000000000,0.49980000000000,0.00000000000000,0.00000000000000,-0.54880000000000,4757.70980000000054,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4791.53650000000016,NA,33.39200000000000,33.34120000000000,0.20930000000000,0.46560000000000,0.61760000000000,NA,33.40010000000000,33.19080000000000,0.20930000000000,33.18160000000000,0.47480000000000,0.47480000000000,0.00000000000000,0.00000000000000,0.48550000000000,4791.53650000000016,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4824.93660000000000,NA,33.98230000000000,33.91590000000000,0.45440000000000,0.41830000000000,0.55120000000000,NA,34.22740000000000,33.77300000000000,0.45440000000000,33.74240000000000,0.44890000000000,0.44890000000000,0.00000000000000,0.00000000000000,-0.51580000000000,4824.93660000000000,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4859.16400000000067,NA,33.14540000000000,33.21670000000000,0.21230000000000,0.45470000000000,0.62250000000000,NA,32.90330000000000,32.69100000000000,0.21230000000000,32.67680000000000,0.46890000000000,0.46890000000000,0.00000000000000,0.00000000000000,1.01070000000000,4859.16400000000067,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,4892.06730000000061,NA,33.29800000000000,33.34430000000000,0.21240000000000,0.52950000000000,0.66880000000000,NA,33.29810000000001,33.08570000000000,0.21240000000000,33.08310000000000,0.53210000000000,0.53210000000000,0.00000000000000,0.00000000000000,-0.44100000000000,4892.06730000000061,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
